file,line,index,manualPriority,automatedPriority,ruleID,ruleDescription
edu/ncsu/csc/itrust/enums/Gender.java,7,199,1,2,CODE_SMELL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.
edu/ncsu/csc/itrust/action/EditOfficeVisitAction.java,177,7719,2,3,CODE_SMELL,Remove the declaration of thrown exception 'edu.ncsu.csc.itrust.exception.ITrustException', as it cannot be thrown from method's body.
edu/ncsu/csc/itrust/beans/ReviewsBean.java,15,491,1,4,CODE_SMELL,Rename this field "MID" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.
edu/ncsu/csc/itrust/unit/action/AddPatientFileActionTest.java,25,719,2,4,CODE_SMELL,Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.
edu/ncsu/csc/itrust/selenium/PendingApptTest.java,20,454,1,4,CODE_SMELL,Replace the synchronized class "StringBuffer" by an unsynchronized one such as "StringBuilder".
edu/ncsu/csc/itrust/dao/mysql/AllergyDAO.java,30,1095,3,4,CODE_SMELL,Reorder the modifiers to comply with the Java Language Specification.
edu/ncsu/csc/itrust/dao/mysql/ApptDAO.java,18,561,4,5,CODE_SMELL,Remove the "transient" modifier from this field.
edu/ncsu/csc/itrust/selenium/PHIRecordTest.java,184,9806,2,5,CODE_SMELL,Define and throw a dedicated exception instead of using a generic one.
edu/ncsu/csc/itrust/unit/action/EditPatientActionTest.java,26,968,2,5,CODE_SMELL,Define and throw a dedicated exception instead of using a generic one.
edu/ncsu/csc/itrust/unit/dao/patient/GetDiagnosesTest.java,13,485,2,6,CODE_SMELL,Remove the "gen" field and declare it as a local variable in the relevant methods.
edu/ncsu/csc/itrust/unit/dao/patient/RepresentativeTest.java,34,1044,2,6,CODE_SMELL,Define and throw a dedicated exception instead of using a generic one.
edu/ncsu/csc/itrust/unit/datagenerators/TestDataGenerator.java,870,27891,1,7,CODE_SMELL,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.
edu/ncsu/csc/itrust/unit/bean/PatientVisitBeanTest.java,17,311,2,7,CODE_SMELL,Add the "@Override" annotation above this method signature
edu/ncsu/csc/itrust/unit/bean/HealthRecordTest.java,11,265,2,7,CODE_SMELL,Define and throw a dedicated exception instead of using a generic one.
edu/ncsu/csc/itrust/unit/action/MonitorAdverseEventActionTest.java,44,1213,1,7,CODE_SMELL,Define a constant instead of duplicating this literal "11/10/2010" 3 times.
edu/ncsu/csc/itrust/unit/dao/access/AccessDAOExceptionTest.java,44,1384,2,7,CODE_SMELL,Remove the declaration of thrown exception 'java.lang.Exception', as it cannot be thrown from method's body.
edu/ncsu/csc/itrust/unit/datagenerators/TestDataGenerator.java,1265,38449,2,7,CODE_SMELL,Remove the declaration of thrown exception 'java.io.FileNotFoundException' which is a subclass of 'java.io.IOException'.
edu/ncsu/csc/itrust/unit/validate/regex/CodeDescriptionValidatorTest.java,13,582,2,7,CODE_SMELL,Define and throw a dedicated exception instead of using a generic one.
edu/ncsu/csc/itrust/unit/dao/officevisit/OVDiagnosesTest.java,64,2023,3,8,CODE_SMELL,Complete the task associated to this TODO comment.
edu/ncsu/csc/itrust/unit/datagenerators/TestDataGenerator.java,342,11001,2,8,CODE_SMELL,Remove the declaration of thrown exception 'java.io.FileNotFoundException' which is a subclass of 'java.io.IOException'.
edu/ncsu/csc/itrust/dao/mysql/ExerciseEntryDAO.java,26,832,4,8,CODE_SMELL,Remove the "transient" modifier from this field.
edu/ncsu/csc/itrust/unit/dao/auth/AuthDAOExceptionTest.java,88,2611,2,9,CODE_SMELL,Define and throw a dedicated exception instead of using a generic one.
edu/ncsu/csc/itrust/unit/risk/Type1DiabetesTest.java,51,1985,2,9,CODE_SMELL,Define and throw a dedicated exception instead of using a generic one.
edu/ncsu/csc/itrust/unit/dao/auth/AuthDAOExceptionTest.java,43,1289,2,9,CODE_SMELL,Define and throw a dedicated exception instead of using a generic one.
edu/ncsu/csc/itrust/unit/dao/personnel/PersonnelDAOExceptionTest.java,53,1657,2,9,CODE_SMELL,Define and throw a dedicated exception instead of using a generic one.
edu/ncsu/csc/itrust/unit/DateUtilTest.java,17,486,1,9,BUG,Remove this assertion from production code.
edu/ncsu/csc/itrust/unit/dao/auth/AuthDAOExceptionTest.java,106,3140,2,9,CODE_SMELL,Define and throw a dedicated exception instead of using a generic one.
edu/ncsu/csc/itrust/unit/datagenerators/TestDataGenerator.java,1209,36889,2,9,CODE_SMELL,Remove the declaration of thrown exception 'java.io.FileNotFoundException' which is a subclass of 'java.io.IOException'.
edu/ncsu/csc/itrust/unit/dao/patientinstructions/PatientInstructionsDAOExceptionTest.java,12,536,2,10,CODE_SMELL,Define and throw a dedicated exception instead of using a generic one.
edu/ncsu/csc/itrust/selenium/UploadPatientFileTest.java,13,368,2,10,CODE_SMELL,Replace the synchronized class "StringBuffer" by an unsynchronized one such as "StringBuilder".
edu/ncsu/csc/itrust/unit/action/ViewPrescriptionRenewalNeedsActionTest.java,58,1848,2,10,CODE_SMELL,Define and throw a dedicated exception instead of using a generic one.
edu/ncsu/csc/itrust/unit/testutils/ActionTestWithMocks.java,84,3510,3,11,CODE_SMELL,Remove this use of "EasyMock"; it is deprecated.
edu/ncsu/csc/itrust/beans/PatientBean.java,49,1728,4,11,CODE_SMELL,Define a constant instead of duplicating this literal "MM/dd/yyyy" 6 times.
edu/ncsu/csc/itrust/unit/action/ViewMacronutrientsActionTest.java,92,2254,2,12,CODE_SMELL,Remove this useless assignment to local variable "msjData".
edu/ncsu/csc/itrust/dao/mysql/PatientDAO.java,1163,34758,2,12,CODE_SMELL,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.
edu/ncsu/csc/itrust/unit/action/UpdateCPTCodeListActionTest.java,45,1733,2,12,CODE_SMELL,Define and throw a dedicated exception instead of using a generic one.
edu/ncsu/csc/itrust/unit/action/ViewFoodEntryActionTest.java,272,9579,1,12,CODE_SMELL,Define a constant instead of duplicating this literal "12/12/2014" 6 times.
edu/ncsu/csc/itrust/charts/DiagnosisTrendData.java,67,1831,3,12,CODE_SMELL,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.
edu/ncsu/csc/itrust/unit/dao/fakeemail/EmailTest.java,33,1037,2,13,CODE_SMELL,Define and throw a dedicated exception instead of using a generic one.
edu/ncsu/csc/itrust/unit/action/EventLoggingActionTest.java,31,1029,2,13,CODE_SMELL,Remove the declaration of thrown exception 'edu.ncsu.csc.itrust.exception.FormValidationException', as it cannot be thrown from method's body.
edu/ncsu/csc/itrust/unit/risk/factors/EthnicityFactorTest.java,26,807,2,14,CODE_SMELL,Remove the declaration of thrown exception 'java.lang.Exception', as it cannot be thrown from method's body.
edu/ncsu/csc/itrust/server/RecordsReleaseServlet.java,28,878,7,15,BUG,Remove this misleading mutable servlet instance field or make it "static" and/or "final"
edu/ncsu/csc/itrust/unit/dao/patientinstructions/PatientInstructionsDAOTest.java,27,979,2,16,CODE_SMELL,Define and throw a dedicated exception instead of using a generic one.
edu/ncsu/csc/itrust/unit/dao/WardDAOTest.java,208,4065,3,16,CODE_SMELL,Complete the task associated to this TODO comment.
edu/ncsu/csc/itrust/unit/dao/ophthalmologySurgery/OphthalmologySurgeryRecordDAOTest.java,1,8,1,17,CODE_SMELL,Rename this package name to match the regular expression '^[a-z_]+(\.[a-z_][a-z0-9_]*)*$'.
edu/ncsu/csc/itrust/unit/action/ResetPasswordActionTest.java,143,5339,2,17,CODE_SMELL,Define and throw a dedicated exception instead of using a generic one.
edu/ncsu/csc/itrust/selenium/ExerciseDiaryTest.java,537,20899,4,20,CODE_SMELL,Remove this useless assignment to local variable "driver".
edu/ncsu/csc/itrust/unit/dao/labprocedure/AddLabProcedureTest.java,36,1026,1,21,BUG,Remove this assertion from production code.
edu/ncsu/csc/itrust/unit/dao/obstetrics/ObstetricsRecordDAOTest.java,92,2585,2,22,CODE_SMELL,Remove this useless assignment to local variable "beans".
edu/ncsu/csc/itrust/dao/mysql/CDCHeightStatsDAO.java,85,3267,2,22,CODE_SMELL,Use isEmpty() to check whether the collection is empty or not.
edu/ncsu/csc/itrust/unit/report/DemographicReportFilterTest.java,608,25788,2,22,CODE_SMELL,Define and throw a dedicated exception instead of using a generic one.
edu/ncsu/csc/itrust/dao/mysql/SleepEntryDAO.java,239,7392,2,22,CODE_SMELL,Immediately return this expression instead of assigning it to the temporary variable "numUpdated".
edu/ncsu/csc/itrust/unit/action/UpdateLabProcListActionTest.java,192,6904,2,24,CODE_SMELL,Define and throw a dedicated exception instead of using a generic one.
edu/ncsu/csc/itrust/selenium/DependentsTest.java,33,859,3,25,CODE_SMELL,Define a constant instead of duplicating this literal "9000000000" 5 times.
edu/ncsu/csc/itrust/beans/loaders/PersonnelLoader.java,55,1919,4,25,CODE_SMELL,Remove this useless assignment to local variable "i".
edu/ncsu/csc/itrust/selenium/AuditPatientTest.java,23,541,1,27,BUG,Remove this assertion from production code.
edu/ncsu/csc/itrust/unit/report/DemographicReportFilterTest.java,204,8807,2,28,CODE_SMELL,Remove the declaration of thrown exception 'java.lang.Exception', as it cannot be thrown from method's body.
edu/ncsu/csc/itrust/unit/action/AddApptRequestActionTest.java,42,1357,4,30,CODE_SMELL,Define a constant instead of duplicating this literal "MM/dd/yyyy hh:mm aa" 9 times.
edu/ncsu/csc/itrust/unit/dao/officevisit/RequiredProceduresDAOTest.java,58,2529,2,31,CODE_SMELL,Define and throw a dedicated exception instead of using a generic one.
edu/ncsu/csc/itrust/action/ReportAdverseEventAction.java,125,4328,2,31,CODE_SMELL,Replace the type specification in this constructor call with the diamond operator ("<>").
edu/ncsu/csc/itrust/unit/bean/LabelLoaderTest.java,55,1492,6,31,CODE_SMELL,Complete the task associated to this TODO comment.
edu/ncsu/csc/itrust/unit/action/GroupReportGeneratorActionTest.java,62,2635,3,31,CODE_SMELL,Remove this use of "EasyMock"; it is deprecated.
edu/ncsu/csc/itrust/selenium/ViewEmergencyReportTest.java,18,480,2,33,CODE_SMELL,Add the "@Override" annotation above this method signature
edu/ncsu/csc/itrust/action/ViewExerciseEntryAction.java,146,5079,5,34,CODE_SMELL,Remove the '?' from this unnecessarily reluctant quantifier.
edu/ncsu/csc/itrust/unit/validate/bean/PatientValidatorTest.java,50,1503,4,37,CODE_SMELL,Define a constant instead of duplicating this literal "Caucasian" 6 times.
edu/ncsu/csc/itrust/unit/charts/DiagnosisTrendDataTest.java,98,2848,2,39,CODE_SMELL,Replace the type specification in this constructor call with the diamond operator ("<>").
edu/ncsu/csc/itrust/action/AddFoodEntryAction.java,61,2223,3,39,CODE_SMELL,"getDateEatenStr" returns a string, there's no need to call "toString()".
edu/ncsu/csc/itrust/selenium/DocumentOfficeVisitTest.java,232,8061,3,40,CODE_SMELL,"getCurrentUrl" returns a string, there's no need to call "toString()".
edu/ncsu/csc/itrust/selenium/CreateLTSpecTest.java,35,903,1,43,BUG,Remove this assertion from production code.
edu/ncsu/csc/itrust/selenium/CalendarTest.java,41,1097,3,45,CODE_SMELL,Define a constant instead of duplicating this literal "Appointment Calendar" 6 times.
edu/ncsu/csc/itrust/selenium/RequestRecordsReleaseTest.java,213,8838,2,45,CODE_SMELL,Remove the declaration of thrown exception 'java.lang.Exception', as it cannot be thrown from method's body.
edu/ncsu/csc/itrust/selenium/GetVisitRemindersTest.java,162,6301,1,49,CODE_SMELL,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.
edu/ncsu/csc/itrust/selenium/PhysicianSatisfactionUseCaseTest.java,360,18066,2,50,CODE_SMELL,Define and throw a dedicated exception instead of using a generic one.
edu/ncsu/csc/itrust/selenium/PrescriptionInteractionAndAllergyTest.java,209,8198,4,55,CODE_SMELL,This block of commented-out lines of code should be removed.
edu/ncsu/csc/itrust/selenium/PrescriptionRefactoringUseCaseTest.java,34,861,4,55,CODE_SMELL,Define a constant instead of duplicating this literal "j_password" 16 times.
edu/ncsu/csc/itrust/selenium/PendingApptTest.java,79,2848,1,55,CODE_SMELL,Use isEmpty() to check whether the collection is empty or not.
edu/ncsu/csc/itrust/selenium/EditAndDeleteFoodDiaryTest.java,199,9108,4,55,CODE_SMELL,Define a constant instead of duplicating this literal "Fiber:1" 7 times.
edu/ncsu/csc/itrust/selenium/PrescriptionInteractionAndAllergyTest.java,39,1261,4,55,CODE_SMELL,Define a constant instead of duplicating this literal "//div[@id='iTrustMenu']/div/div[4]/div/h2" 8 times.
edu/ncsu/csc/itrust/selenium/EditPatientTest.java,45,1628,4,55,CODE_SMELL,Define a constant instead of duplicating this literal "Patient Information" 4 times.
edu/ncsu/csc/itrust/selenium/InsuranceNotificationTest.java,85,3275,4,55,CODE_SMELL,Define a constant instead of duplicating this literal "insHolder" 10 times.
edu/ncsu/csc/itrust/unit/action/AddEditViewObstetricsActionTest.java,174,6042,2,55,CODE_SMELL,Replace the type specification in this constructor call with the diamond operator ("<>").
edu/ncsu/csc/itrust/selenium/RequestRecordsReleaseTest.java,73,2662,1,55,CODE_SMELL,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.
edu/ncsu/csc/itrust/unit/action/ViewFoodEntryActionTest.java,61,1852,4,55,CODE_SMELL,Define a constant instead of duplicating this literal "09/30/2012" 4 times.
edu/ncsu/csc/itrust/selenium/DesignateNutritionistTest.java,160,6573,4,55,CODE_SMELL,Remove this useless assignment to local variable "driver".
edu/ncsu/csc/itrust/selenium/MonitorAdverseEventTest.java,46,1254,4,55,CODE_SMELL,Define a constant instead of duplicating this literal "Monitor Adverse Events" 3 times.
edu/ncsu/csc/itrust/selenium/RequestRecordsReleaseTest.java,73,2717,2,55,CODE_SMELL,Remove the declaration of thrown exception 'java.lang.Exception', as it cannot be thrown from method's body.
edu/ncsu/csc/itrust/selenium/LabelsTest.java,169,6133,4,55,CODE_SMELL,Define a constant instead of duplicating this literal "diaries" 3 times.
edu/ncsu/csc/itrust/selenium/InsuranceSubmissionTest.java,76,2908,4,55,CODE_SMELL,Define a constant instead of duplicating this literal "View Insurance Claims" 5 times.
edu/ncsu/csc/itrust/selenium/OphthalmologyOfficeVisitTest.java,46,1241,4,55,CODE_SMELL,Define a constant instead of duplicating this literal "Add Ophthalmology Office Visit" 8 times.
edu/ncsu/csc/itrust/beans/loaders/OphthalmologyOVRecordLoader.java,129,4268,8,55,CODE_SMELL,Refactor this method to reduce its Cognitive Complexity from 24 to the 15 allowed.
edu/ncsu/csc/itrust/selenium/PrescriptionInteractionAndAllergyTest.java,105,3910,2,55,CODE_SMELL,Define and throw a dedicated exception instead of using a generic one.
edu/ncsu/csc/itrust/selenium/FoodDiaryTest.java,97,3706,4,55,CODE_SMELL,Define a constant instead of duplicating this literal "Carb:0" 3 times.
edu/ncsu/csc/itrust/selenium/OphthalmologyScheduleOVTest.java,194,8336,4,55,CODE_SMELL,Define a constant instead of duplicating this literal "Rejected" 5 times.
edu/ncsu/csc/itrust/selenium/PrescriptionInstructionsTest.java,44,1160,1,55,BUG,Remove this assertion from production code.
edu/ncsu/csc/itrust/unit/action/AddFoodEntryActionTest.java,69,2056,6,55,CODE_SMELL,Extract this nested try block into a separate method.
edu/ncsu/csc/itrust/selenium/DependentsTest.java,173,5399,4,55,CODE_SMELL,Define a constant instead of duplicating this literal "iTrust - Records Release Request" 4 times.
